LShoulderRoll,LElbowRoll,LHipRoll,RShoulderRoll,RElbowRoll,RHipRoll
-23.498565675952097,-163.7150775281166,88.72696997994329,-154.5366549381284,-108.43494882292202,87.51044707800085
-23.498565675952097,-166.52684188726886,90.0,-158.6293777306568,-117.5528115767178,87.4551956201869
-17.744671625056935,-166.7920715372209,90.0,-162.34987578006988,-119.47588900324574,87.4551956201869
-18.43494882292201,-166.6607510966366,90.0,-161.565051177078,-115.55996517182382,86.18592516570965
-20.556045219583467,-165.67728002179646,90.0,-158.6293777306568,-113.49856567595211,86.09950625761812
-20.556045219583467,-164.57783868126134,91.33221985386963,-158.6293777306568,-97.4314079711725,87.4551956201869
-20.556045219583467,-163.96005669395035,91.33221985386963,-160.8209919741893,-78.23171106797936,86.26860300083955
-19.798876354524932,-165.77403610124819,91.43209618416465,-157.75097634278765,-50.19442890773481,87.4551956201869
-21.80140948635181,-171.38435181583588,91.39718102729638,-160.01689347810003,-32.9052429229879,86.09950625761812
-20.854458039578347,-169.7651972365768,91.39718102729638,-160.01689347810003,-45.0,86.09950625761812
-14.534455080540122,-167.54175355999513,94.28915332881903,-167.7352262721076,-81.86989764584403,86.26860300083955
0.0,-164.21924669048462,94.08561677997488,-177.7974018382342,-97.1250163489018,87.51044707800085
12.264773727892402,-163.97413255155024,93.99091309842979,173.8844964337146,-99.46232220802563,87.51044707800085
11.768288932020644,-164.9536081678015,93.99091309842979,171.57303097851934,-97.4314079711725,86.34777721969367
11.309932474020213,-164.1406337333943,95.31454566994475,169.5085229876684,-82.8749836510982,86.42366562500266
14.620873988631656,-165.4655449194599,92.86240522611175,167.7352262721076,-72.47443162627712,86.09950625761812
33.690067525979785,-161.02959219151347,92.93567344642118,164.74488129694222,-46.97493401088198,84.68545433005525
32.9052429229879,-165.34324888423959,92.79270236571328,155.77225468204585,-47.290610042638534,84.68545433005525
36.86989764584402,-164.9315118405078,92.66300076606714,144.46232220802563,-83.99099404250548,86.18592516570965
36.86989764584402,-164.9315118405078,92.66300076606714,144.46232220802563,-83.99099404250548,86.18592516570965
48.01278750418334,-164.80475147318012,92.6025622024998,136.46880071438582,-110.22485943116808,87.39743779750019
56.88865803962798,-163.85566121971652,91.33221985386963,127.69424046668917,-111.80140948635182,88.66778014613037
61.55707137563666,-167.30041551040264,91.33221985386963,125.31121343963319,-115.01689347810004,87.27368900609373
67.83365417791754,-172.763077974032,91.30195267257888,111.44773632710536,-135.0,88.63607246839707
71.56505117707799,167.69198418257207,90.0,104.53445508054013,126.02737338510362,87.13759477388825
78.3106308245608,150.52411099675425,90.0,101.6893691754392,92.2025981617658,85.71084667118099
77.9052429229879,145.66978280449666,90.0,99.46232220802563,85.60129464500447,87.06432655357884
76.42956561483852,150.52411099675425,91.36392753160293,101.30993247402021,92.29061004263853,87.13759477388825
75.96375653207353,148.67130713219584,90.0,101.6893691754392,92.12109639666146,87.06432655357884
75.96375653207353,148.67130713219584,88.56790381583535,103.57043438516149,90.0,85.60129464500447
79.8753283446022,145.37584492005107,90.0,101.6893691754392,85.76360520094116,85.71084667118099
